FunctionName,Package,Count
html.EscapeString(),HTML,13
html.ParseFragment(),HTML,3
html.Render(),HTML,3
html.UnescapeString(),HTML,2
html.Attribute,HTML,0
html.Node,HTML,12
html.Parse(),HTML,15
html.AppendChild(),HTML,0
html.InsertBefore(),HTML,0
html.RemoveChild(),HTML,0
html.NodeType,HTML,0
html.Token,HTML,3
html.String(),HTML,0
html.TokenType,HTML,0
html.Tokenizer,HTML,3
html.NewTokenizer(),HTML,12
html.NewTokenizerFragment(),HTML,0
html.AllowCDATA(),HTML,0
html.Buffered(),HTML,0
html.Err(),HTML,0
html.Next(),HTML,0
html.NextIsNotRawText(),HTML,0
html.Raw(),HTML,0
html.SetMaxBuf(),HTML,0
html.TagAttr(),HTML,0
html.TagName(),HTML,0
html.Text(),HTML,0
html.Token(),HTML,3
websocket.Origin(),WEBSOCKET,0
websocket.Addr,WEBSOCKET,0
websocket.Network(),WEBSOCKET,0
websocket.Codec,WEBSOCKET,0
websocket.Receive(),WEBSOCKET,0
websocket.Send(),WEBSOCKET,0
websocket.Config,WEBSOCKET,0
websocket.NewConfig(),WEBSOCKET,0
websocket.Conn,WEBSOCKET,50
websocket.Dial(),WEBSOCKET,7
websocket.DialConfig(),WEBSOCKET,0
websocket.NewClient(),WEBSOCKET,0
websocket.Close(),WEBSOCKET,0
websocket.Config(),WEBSOCKET,0
websocket.IsClientConn(),WEBSOCKET,0
websocket.IsServerConn(),WEBSOCKET,0
websocket.LocalAddr(),WEBSOCKET,0
websocket.Read(),WEBSOCKET,0
websocket.RemoteAddr(),WEBSOCKET,0
websocket.Request(),WEBSOCKET,0
websocket.SetDeadline(),WEBSOCKET,1
websocket.SetReadDeadline(),WEBSOCKET,0
websocket.SetWriteDeadline(),WEBSOCKET,0
websocket.Write(),WEBSOCKET,0
websocket.DialError,WEBSOCKET,0
websocket.Error(),WEBSOCKET,0
websocket.Handler,WEBSOCKET,30
websocket.ServeHTTP(),WEBSOCKET,0
websocket.ProtocolError,WEBSOCKET,0
websocket.Server,WEBSOCKET,2
oauth2.NewClient(),OAUTH2,6
oauth2.RegisterBrokenAuthHeaderProvider(),OAUTH2,0
oauth2.AuthCodeOption,OAUTH2,0
oauth2.SetAuthURLParam(),OAUTH2,1
oauth2.Config,OAUTH2,16
oauth2.AuthCodeURL(),OAUTH2,0
oauth2.Client(),OAUTH2,6
oauth2.Exchange(),OAUTH2,1
oauth2.PasswordCredentialsToken(),OAUTH2,0
oauth2.TokenSource(),OAUTH2,0
oauth2.Background(),OAUTH2,0
oauth2.Endpoint,OAUTH2,6
oauth2.Token,OAUTH2,31
oauth2.Extra(),OAUTH2,0
oauth2.SetAuthHeader(),OAUTH2,0
oauth2.Type(),OAUTH2,0
oauth2.Valid(),OAUTH2,0
oauth2.WithExtra(),OAUTH2,0
oauth2.TokenSource,OAUTH2,0
oauth2.ReuseTokenSource(),OAUTH2,1
oauth2.StaticTokenSource(),OAUTH2,4
oauth2.Transport,OAUTH2,9
oauth2.CancelRequest(),OAUTH2,0
oauth2.RoundTrip(),OAUTH2,0
oauth2.TODO(),OAUTH2,0
context.CancelFunc,CONTEXT,2
context.Context,CONTEXT,76
context.Background(),CONTEXT,42
context.TODO(),CONTEXT,4
context.WithCancel(),CONTEXT,2
context.WithDeadline(),CONTEXT,1
context.WithTimeout(),CONTEXT,8
context.WithValue(),CONTEXT,12
mux.Vars(),MUX,61
mux.BuildVarsFunc,MUX,0
mux.MatcherFunc,MUX,0
mux.Match(),MUX,0
mux.Route,MUX,43
mux.CurrentRoute(),MUX,2
mux.BuildOnly(),MUX,0
mux.BuildVarsFunc(),MUX,0
mux.GetError(),MUX,0
mux.GetHandler(),MUX,0
mux.GetHostTemplate(),MUX,0
mux.GetName(),MUX,0
mux.GetPathTemplate(),MUX,0
mux.Handler(),MUX,10
mux.HandlerFunc(),MUX,0
mux.Headers(),MUX,0
mux.HeadersRegexp(),MUX,0
mux.Host(),MUX,0
mux.MatcherFunc(),MUX,0
mux.Methods(),MUX,0
mux.Name(),MUX,0
mux.Path(),MUX,0
mux.PathPrefix(),MUX,0
mux.Queries(),MUX,0
mux.Schemes(),MUX,0
mux.SkipClean(),MUX,0
mux.Subrouter(),MUX,0
mux.URL(),MUX,0
mux.URLHost(),MUX,0
mux.URLPath(),MUX,0
mux.RouteMatch,MUX,1
mux.Router,MUX,43
mux.NewRouter(),MUX,205
mux.Get(),MUX,8
mux.GetRoute(),MUX,0
mux.Handle(),MUX,10
mux.HandleFunc(),MUX,18
mux.NewRoute(),MUX,205
mux.ServeHTTP(),MUX,0
mux.StrictSlash(),MUX,0
mux.UseEncodedPath(),MUX,0
mux.Walk(),MUX,0
mux.WalkFunc,MUX,0
